Author,Title,Description,Genre,Banned
SocialMediaUser,UserComment,piers im sure some women would love a life of luxury like tate can give i want to give my misses that life so she can stay home and look after herself,Misc,
SocialMediaUser,UserComment,tate a smart person but some opinions and behaving are just disgusting and dumb,Misc,
SocialMediaUser,UserComment,the wig argument was on point,Misc,
SocialMediaUser,UserComment,what???? hamas took all the money given to them and used it for tunnels and weapons instead of looking after the poor!!,Misc,
SocialMediaUser,UserComment,his definition of genocide....smh... eradicate or force/drive out of the area is gentrification..,Misc,
SocialMediaUser,UserComment,:: love how this shut piers up perfectly,Misc,
SocialMediaUser,UserComment,the only time i have ever agreed tate is here	 mostly,Misc,
SocialMediaUser,UserComment,how many arms where broken from palestine kids at the hand from the idf ???,Misc,
SocialMediaUser,UserComment,heathrow to belfast with british airways. boarded about  noon for . take off. after some delay we were informed there was a technical fault and engineers had been called. we were offered water or soft drinks initially. we finally took off at pm which meant we had been sitting on the plane for  hours during which time we were not offered anything at all to eat. it was quite disgraceful for ba. once airborne we were served tea / coffee / alcoholic drink and a choice of potato crisps. is this what ba has been reduced to? this airline definitely no longer lives up to expectations and i will not be flying with them again. at least with low cost airlines you can at least buy some food.,Misc,
SocialMediaUser,UserComment,piers watch this and understand why u cannot sleep at night	 and ur taking so much drugs. wake up...,Misc,
SocialMediaUser,UserComment,tate vs a fkin shoe maker,Misc,
SocialMediaUser,UserComment,what piers will do after the world knew that israel before oct th kidnapped hundreds of palestinian children and women as hostages and kept them for years. which justifies hamas taking the hostages on oct th. and the exchange deal was the optimum solution. however	 what will never be justified the terrorism and genocide israel committed.,Misc,
SocialMediaUser,UserComment,i think iv lost it somewhere,Misc,
SocialMediaUser,UserComment,my fave part is : i feel loverboyed,Misc,
SocialMediaUser,UserComment,trip verified | flew british airways from jk to london heathrow then connected london galwick to rome. bag has been lost for  hours. no email	 phone call	 text update. they didnt even answer my email! my wife and i have had the same clothes on our backs since we left jfk. thank goodness for washing machines. we have missed out on events. we cant get into certain places due to dress codes. we had to wait for a store to open to buy toothbrushes and toothpaste. horrible	 horrible service. then we were told our bag would arrive at our hotel at . pm yesterday. its almost  pm the next day and the bag still isnt here!,Misc,
SocialMediaUser,UserComment,jeder in meinem umfeld findet andrew absolut schrecklich und persnlich	 ja	 ich mag ihn nicht	 er wird mich vermutlich auch nicht mgen - aber so ziemlich jedes wort	 dass er sagt	 ist wahr wenn es um politik und die medien geht und darum empfinde ich eine form von dankbarkeit fr seinen kampf gegen diesen wahnsinniger apparat der sich hier in den letzten jahren gezeigt hat.,Misc,
SocialMediaUser,UserComment,how can you label someone as a terror when they try to claim their dignity in their own motherland. wow 	western hypocrisy so widely appear. btw free,Misc,
SocialMediaUser,UserComment,did piers and andrew eat sarmale at the end of this interview? and papanai?,Misc,
SocialMediaUser,UserComment,the fun fact is that	 people who died from covid only died in the hospitals or after coming from the hospitals,Misc,
SocialMediaUser,UserComment,piers	 how about the way israel was established?,Misc,
